"player_id" "age_grp" "gender" "Phit" "Pmiss" "PfalseAlarm" "PcorrectRejection" "pcu_score"
2016020202 "A" "Mies" 0.518987341772152 0.0506329113924051 0.0759493670886076 0.354430379746835 1.15873015873016
2016020302 "A" "Nainen" 0.506329113924051 0.0632911392405063 0.0759493670886076 0.354430379746835 0.733597883597884
2016020402 "A" "Mies" 0.443037974683544 0.126582278481013 0.0632911392405063 0.367088607594937 0.921428571428571
2016020404 "A" "Nainen" 0.544303797468354 0.0253164556962025 0.0759493670886076 0.354430379746835 1.09755291005291
2016020405 "A" "Nainen" 0.518987341772152 0.0506329113924051 0.189873417721519 0.240506329113924 0.849206349206349
2016020802 "C" "Mies" 0.40506329113924 0.164556962025316 0.113924050632911 0.316455696202532 0.287037037037037
2016020804 "C" "Mies" 0.493670886075949 0.0759493670886076 0.227848101265823 0.20253164556962 0.525925925925926
2016020805 "C" "Mies" 0.481012658227848 0.0886075949367089 0.0759493670886076 0.354430379746835 0.412037037037037
2016020806 "C" "Mies" 0.493670886075949 0.0759493670886076 0.164556962025316 0.265822784810127 0.222222222222222
2016020807 "C" "Nainen" 0.493670886075949 0.0759493670886076 0.10126582278481 0.329113924050633 0.707407407407407
2016020808 "C" "Mies" 0.430379746835443 0.139240506329114 0.164556962025316 0.265822784810127 0.611111111111111
2016020809 "C" "Nainen" 0.430379746835443 0.139240506329114 0.20253164556962 0.227848101265823 0.166666666666667
2016021002 "C" "Nainen" 0.430379746835443 0.139240506329114 0.0759493670886076 0.354430379746835 NA
2016021004 "C" "Mies" 0.480519480519481 0.0909090909090909 0.181818181818182 0.246753246753247 0.12037037037037
2016021005 "C" "Mies" 0.455696202531646 0.113924050632911 0.189873417721519 0.240506329113924 0.342592592592593
2016021006 "C" "Nainen" 0.40506329113924 0.164556962025316 0.0886075949367089 0.341772151898734 0.175925925925926
2016021007 "C" "Mies" 0.379746835443038 0.189873417721519 0.126582278481013 0.30379746835443 0.403703703703704
2016021102 "C" "Nainen" 0.40506329113924 0.164556962025316 0.240506329113924 0.189873417721519 0.375
2016021104 "C" "Nainen" 0.341772151898734 0.227848101265823 0.189873417721519 0.240506329113924 0.436111111111111
2016021105 "C" "Mies" 0.443037974683544 0.126582278481013 0.126582278481013 0.30379746835443 0.296296296296296
2016021106 "C" "Nainen" 0.430379746835443 0.139240506329114 0.189873417721519 0.240506329113924 0.47037037037037
2016021202 "C" "Mies" 0.430379746835443 0.139240506329114 0.139240506329114 0.291139240506329 0.666666666666667
2016021204 "C" "Mies" 0.443037974683544 0.126582278481013 0.10126582278481 0.329113924050633 0.521296296296296
2016021205 "C" "Mies" 0.40506329113924 0.164556962025316 0.177215189873418 0.253164556962025 0.300925925925926
2016021206 "C" "Mies" 0.455696202531646 0.113924050632911 0.164556962025316 0.265822784810127 0.310185185185185
2016021207 "C" "Mies" 0.430379746835443 0.139240506329114 0.265822784810127 0.164556962025316 0.231481481481482
2016021502 "C" "Nainen" 0.468354430379747 0.10126582278481 0.189873417721519 0.240506329113924 0.423148148148148
2016021504 "C" "Nainen" 0.40506329113924 0.164556962025316 0.189873417721519 0.240506329113924 0.101851851851852
2016021505 "C" "Nainen" 0.468354430379747 0.10126582278481 0.189873417721519 0.240506329113924 0.661111111111111
2016021506 "C" "Nainen" 0.481012658227848 0.0886075949367089 0.215189873417722 0.215189873417722 0.0833333333333333
2016021507 "C" "Mies" 0.430379746835443 0.139240506329114 0.0632911392405063 0.367088607594937 0.600925925925926
2016022202 "A" "Nainen" 0.531645569620253 0.0379746835443038 0.151898734177215 0.278481012658228 0.98478835978836
2016022302 "A" "Nainen" 0.518987341772152 0.0506329113924051 0.0632911392405063 0.367088607594937 1.03174603174603
2016022304 "A" "Mies" 0.506329113924051 0.0632911392405063 0.126582278481013 0.30379746835443 0.703703703703704
2016022402 "A" "Nainen" 0.506329113924051 0.0632911392405063 0.113924050632911 0.316455696202532 1.02579365079365
2016022502 "A" "Nainen" 0.531645569620253 0.0379746835443038 0.291139240506329 0.139240506329114 0.742592592592593
